sensor_id,model,RMSE,R2,MAE,d
LON__AQM389_S1,Linear,5.2821,0.2423,4.0658,0.8039
LON__AQM389_S1,Ridge,5.2811,0.2426,4.065,0.8039
LON__AQM389_S1,kNN,4.5677,0.4334,3.309,0.8593
LON__AQM389_S1,SVR,5.1207,0.2879,3.6629,0.8427
LON__AQM389_S1,MLP,5.8815,0.0606,4.2491,0.8269
LON__AQM389_S1,GradBoost,6.278,-0.0704,4.5621,0.8143
LON__AQM389_S1,RandomForest,5.8191,0.0804,4.2659,0.8293
LON__AQY874_S1,Linear,6.0257,0.2281,4.3722,0.7187
LON__AQY874_S1,Ridge,6.0257,0.2281,4.3722,0.7187
LON__AQY874_S1,kNN,5.6111,0.3307,3.7876,0.6671
LON__AQY874_S1,SVR,5.4735,0.3631,3.7787,0.6853
LON__AQY874_S1,MLP,5.3959,0.3811,3.7824,0.732
LON__AQY874_S1,GradBoost,5.054,0.457,3.5545,0.7553
LON__AQY874_S1,RandomForest,5.2056,0.4239,3.5373,0.7212
LON__Ari086_S1,Linear,17.9533,-7.0341,4.6817,0.0894
LON__Ari086_S1,Ridge,17.9299,-7.0132,4.6813,0.0896
LON__Ari086_S1,kNN,5.6581,0.202,3.9096,0.6916
LON__Ari086_S1,SVR,4.9545,0.3881,3.3922,0.7668
LON__Ari086_S1,MLP,79.5539,-156.7513,5.1327,0.016
LON__Ari086_S1,GradBoost,5.9,0.1323,4.0964,0.7916
LON__Ari086_S1,RandomForest,5.0641,0.3608,3.5852,0.8237
MCH__AP1_S1,Linear,2.5892,0.9296,1.9533,0.9817
MCH__AP1_S1,Ridge,2.5888,0.9297,1.9531,0.9817
MCH__AP1_S1,kNN,3.8135,0.8474,2.7959,0.9527
MCH__AP1_S1,SVR,3.5166,0.8702,2.3779,0.9603
MCH__AP1_S1,MLP,3.2711,0.8877,2.3,0.9711
MCH__AP1_S1,GradBoost,2.1665,0.9507,1.5919,0.9865
MCH__AP1_S1,RandomForest,2.2418,0.9473,1.5979,0.9853
MCH__AP2_S1,Linear,4.4736,0.79,2.1897,0.945
MCH__AP2_S1,Ridge,4.4762,0.7897,2.1893,0.9449
MCH__AP2_S1,kNN,3.6759,0.8582,2.654,0.9563
MCH__AP2_S1,SVR,3.2696,0.8878,2.1734,0.9656
MCH__AP2_S1,MLP,3.1142,0.8982,2.1151,0.9737
MCH__AP2_S1,GradBoost,2.4929,0.9348,1.8597,0.9817
MCH__AP2_S1,RandomForest,2.8276,0.9161,2.1023,0.9757
MCH__AP3_S1,Linear,11.9401,-0.4961,2.7208,0.7
