sensor_id,model,RMSE,R2,MAE,d
LON__AQM389_S1,XGBoost,6.0816,-0.0044,4.4735,0.8164
LON__AQM389_S1,CNN1D,5.2368,0.2553,3.7743,0.823
LON__AQY874_S1,XGBoost,5.1532,0.4355,3.6139,0.756
LON__AQY874_S1,CNN1D,5.407,0.3785,3.9026,0.762
LON__Ari086_S1,XGBoost,5.8045,0.1602,4.0793,0.7867
LON__Ari086_S1,CNN1D,23.3621,-12.6042,5.888,0.1894
MCH__AP1_S1,XGBoost,2.2612,0.9463,1.6464,0.9849
MCH__AP1_S1,CNN1D,6.173,0.6001,4.7238,0.8647
MCH__AP2_S1,XGBoost,2.5926,0.9295,1.8556,0.9795
MCH__AP2_S1,CNN1D,5.2061,0.7156,3.828,0.9066
MCH__AP3_S1,XGBoost,3.353,0.882,2.6322,0.9638
MCH__AP3_S1,CNN1D,7.683,0.3806,4.9874,0.815
MCH__AQM1_S1,XGBoost,2.2853,0.9364,1.6884,0.9833
MCH__AQM1_S1,CNN1D,5.8785,0.579,4.2915,0.8943
MCH__AQM2_S1,XGBoost,2.363,0.932,1.7091,0.9821
MCH__AQM2_S1,CNN1D,5.712,0.6025,4.3551,0.8952
MCH__AQM388_S1,XGBoost,4.9443,0.6939,3.9085,0.9158
MCH__AQM388_S1,CNN1D,4.5631,0.7393,3.6494,0.9272
MCH__AQM389_S1,XGBoost,16.1262,-2.2735,12.0266,0.5784
MCH__AQM389_S1,CNN1D,21.3026,-4.7123,17.0357,0.3689
MCH__AQM390_S1,XGBoost,5.5276,0.615,4.3497,0.8967
MCH__AQM390_S1,CNN1D,6.2692,0.5048,5.0918,0.8866
MCH__AQM391_S1,XGBoost,14.4799,-1.732,11.9475,0.6294
MCH__AQM391_S1,CNN1D,18.2684,-3.3487,14.4591,0.483
MCH__AQM3_S1,XGBoost,2.4067,0.9294,1.7643,0.981
MCH__AQM3_S1,CNN1D,5.8768,0.5792,3.7515,0.9005
MCH__AQY872_S1,XGBoost,5.6478,0.3961,3.8723,0.7664
MCH__AQY872_S1,CNN1D,5.8768,0.3461,4.7587,0.7946
MCH__AQY873_S1,XGBoost,3.9649,0.6356,2.7786,0.8767
MCH__AQY873_S1,CNN1D,4.7577,0.4753,3.5853,0.8701
MCH__AQY874_S1,XGBoost,4.284,0.7648,3.0862,0.9222
MCH__AQY874_S1,CNN1D,9.7143,-0.2096,7.6667,0.5057
MCH__AQY875_S1,XGBoost,5.0194,0.6332,3.412,0.8602
MCH__AQY875_S1,CNN1D,7.666,0.1445,5.1376,0.5289
MCH__Ari063_S1,XGBoost,3.6182,0.8452,2.6961,0.9537
MCH__Ari063_S1,CNN1D,4.5554,0.7546,3.286,0.9178
MCH__Ari078_S1,XGBoost,3.769,0.8409,2.8078,0.9528
MCH__Ari078_S1,CNN1D,7.0091,0.4498,5.4097,0.8415
MCH__Ari086_S1,XGBoost,2.2249,0.9415,1.7027,0.9851
MCH__Ari086_S1,CNN1D,9.1613,0.0082,7.1032,0.6351
MCH__IMB1_S1,XGBoost,3.5621,0.8467,2.7803,0.9557
MCH__IMB1_S1,CNN1D,4.8639,0.7142,3.8085,0.9145
MCH__IMB1_S2,XGBoost,5.6097,0.6199,4.5044,0.8888
MCH__IMB1_S2,CNN1D,7.1436,0.3836,6.0681,0.8268
MCH__IMB1_S3,XGBoost,5.3055,0.66,4.282,0.8989
MCH__IMB1_S3,CNN1D,6.9909,0.4096,5.9091,0.8377
MCH__IMB2_S1,XGBoost,3.6167,0.7692,2.9568,0.9394
MCH__IMB2_S1,CNN1D,8.1209,-0.1637,6.6387,0.7383
MCH__IMB2_S2,XGBoost,5.6159,0.4435,4.8275,0.8548
MCH__IMB2_S2,CNN1D,8.4678,-0.2652,6.7956,0.7291
MCH__IMB2_S3,XGBoost,3.6905,0.7597,3.0917,0.9346
MCH__IMB2_S3,CNN1D,7.0459,0.124,5.5957,0.795
MCH__NS1_S1,XGBoost,3.2687,0.8854,2.5971,0.9697
MCH__NS1_S1,CNN1D,7.1877,0.446,5.4304,0.8089
MCH__NS2_S1,XGBoost,3.7117,0.8523,2.9776,0.9614
MCH__NS2_S1,CNN1D,7.925,0.3267,6.0074,0.7609
MCH__NS3_S1,XGBoost,3.119,0.8953,2.4151,0.9728
MCH__NS3_S1,CNN1D,6.9562,0.4793,5.267,0.8352
MCH__Poll1_S1,XGBoost,3.0155,0.9037,2.2617,0.9733
MCH__Poll1_S1,CNN1D,6.2969,0.5802,4.8193,0.8631
MCH__Poll2_S1,XGBoost,3.2684,0.8699,2.3853,0.9621
MCH__Poll2_S1,CNN1D,5.9954,0.5622,4.5416,0.8624
MCH__Prax1_S1,XGBoost,2.2096,0.9396,1.5146,0.9831
MCH__Prax1_S1,CNN1D,3.9195,0.8098,2.5825,0.9478
MCH__Prax2_S1,XGBoost,2.54,0.9201,1.8345,0.9775
MCH__Prax2_S1,CNN1D,3.6148,0.8383,2.6303,0.9534
MCH__SA1_S1,XGBoost,5.2097,0.5517,3.758,0.8534
MCH__SA1_S1,CNN1D,8.3696,-0.157,6.1136,0.5261
MCH__SA2_S1,XGBoost,5.4852,0.5086,3.8869,0.8274
MCH__SA2_S1,CNN1D,8.6292,-0.2162,6.4076,0.3971
MCH__SA3_S1,XGBoost,5.7409,0.4573,4.2145,0.7857
MCH__SA3_S1,CNN1D,9.6022,-0.5183,6.7824,0.3019
YRK__AQM391_S1,XGBoost,5.6811,0.8712,4.3945,0.9631
YRK__AQM391_S1,CNN1D,8.7781,0.6926,6.5606,0.9075
YRK__AQY875_S1,XGBoost,12.0427,0.4637,8.4131,0.7975
YRK__AQY875_S1,CNN1D,21.6931,-0.7401,15.5611,0.4745
YRK__AQY875_S2,XGBoost,9.1168,0.6084,6.7164,0.8818
YRK__AQY875_S2,CNN1D,8.8277,0.6328,6.6462,0.878
YRK__Ari093_S1,XGBoost,6.9144,0.807,5.2062,0.9423
YRK__Ari093_S1,CNN1D,8.7861,0.6883,6.4199,0.9028
