sensor_id,detector,adapt_RMSE,adapt_R2,n_retrains
LON__AQM389_S1,CUSUM,3.6323,0.6417,10
LON__AQY874_S1,CUSUM,4.6487,0.5406,10
LON__Ari086_S1,CUSUM,5.1943,0.3275,10
MCH__AP1_S1,CUSUM,2.0991,0.9538,10
MCH__AP2_S1,CUSUM,2.4989,0.9345,10
MCH__AP3_S1,CUSUM,3.0384,0.9031,10
MCH__AQM1_S1,CUSUM,2.2005,0.941,10
MCH__AQM2_S1,CUSUM,2.1169,0.9454,10
MCH__AQM388_S1,CUSUM,3.5283,0.8441,10
MCH__AQM389_S1,CUSUM,11.119,-0.5562,5
MCH__AQM390_S1,CUSUM,3.3367,0.8597,10
MCH__AQM391_S1,CUSUM,6.3375,0.4767,5
MCH__AQM3_S1,CUSUM,2.3298,0.9339,10
MCH__AQY872_S1,CUSUM,5.269,0.4744,10
MCH__AQY873_S1,CUSUM,4.7182,0.484,10
MCH__AQY874_S1,CUSUM,3.359,0.8554,5
MCH__AQY875_S1,CUSUM,4.7397,0.673,5
MCH__Ari063_S1,CUSUM,2.734,0.9116,10
MCH__Ari078_S1,CUSUM,3.9757,0.823,10
MCH__Ari086_S1,CUSUM,2.1174,0.947,5
MCH__IMB1_S1,CUSUM,2.955,0.8945,10
MCH__IMB1_S2,CUSUM,3.7087,0.8339,10
MCH__IMB1_S3,CUSUM,3.7227,0.8326,10
MCH__IMB2_S1,CUSUM,2.4994,0.8898,10
MCH__IMB2_S2,CUSUM,3.3682,0.7998,10
MCH__IMB2_S3,CUSUM,2.5425,0.8859,10
MCH__NS1_S1,CUSUM,2.0406,0.9554,10
MCH__NS2_S1,CUSUM,2.3065,0.943,10
MCH__NS3_S1,CUSUM,2.1602,0.9498,9
MCH__Poll1_S1,CUSUM,2.503,0.9337,10
MCH__Poll2_S1,CUSUM,3.6567,0.8372,10
MCH__Prax1_S1,CUSUM,2.2217,0.9389,10
MCH__Prax2_S1,CUSUM,2.7244,0.9081,10
MCH__SA1_S1,CUSUM,4.5274,0.6615,6
MCH__SA2_S1,CUSUM,4.9809,0.5948,7
MCH__SA3_S1,CUSUM,4.5908,0.6529,6
YRK__AQM391_S1,CUSUM,4.6618,0.9133,10
YRK__AQY875_S1,CUSUM,8.2272,0.7497,9
YRK__AQY875_S2,CUSUM,8.0552,0.6943,10
YRK__Ari093_S1,CUSUM,6.0269,0.8533,10
LON__AQM389_S1,ADWIN,3.5756,0.6528,10
LON__AQY874_S1,ADWIN,4.7659,0.5171,10
LON__Ari086_S1,ADWIN,5.154,0.3379,10
MCH__AP1_S1,ADWIN,2.0796,0.9546,7
MCH__AP2_S1,ADWIN,2.5609,0.9312,7
MCH__AP3_S1,ADWIN,3.1553,0.8955,8
MCH__AQM1_S1,ADWIN,2.2503,0.9383,6
MCH__AQM2_S1,ADWIN,2.1552,0.9434,6
MCH__AQM388_S1,ADWIN,3.1547,0.8754,10
MCH__AQM389_S1,ADWIN,17.2148,-2.7303,3
MCH__AQM390_S1,ADWIN,3.0692,0.8813,10
MCH__AQM391_S1,ADWIN,7.9938,0.1673,3
MCH__AQM3_S1,ADWIN,2.3216,0.9343,6
MCH__AQY872_S1,ADWIN,6.274,0.2548,10
MCH__AQY873_S1,ADWIN,4.474,0.536,10
MCH__AQY874_S1,ADWIN,3.5131,0.8418,3
MCH__AQY875_S1,ADWIN,4.7464,0.672,4
MCH__Ari063_S1,ADWIN,2.7588,0.91,10
MCH__Ari078_S1,ADWIN,3.8057,0.8378,10
MCH__Ari086_S1,ADWIN,2.1538,0.9452,3
MCH__IMB1_S1,ADWIN,3.0259,0.8894,8
MCH__IMB1_S2,ADWIN,3.6012,0.8433,8
MCH__IMB1_S3,ADWIN,3.6226,0.8415,8
MCH__IMB2_S1,ADWIN,2.3977,0.8986,8
MCH__IMB2_S2,ADWIN,3.3747,0.7991,8
MCH__IMB2_S3,ADWIN,2.5202,0.8879,8
MCH__NS1_S1,ADWIN,2.1847,0.9488,3
MCH__NS2_S1,ADWIN,2.4026,0.9381,6
MCH__NS3_S1,ADWIN,2.2061,0.9476,5
MCH__Poll1_S1,ADWIN,2.5168,0.9329,6
MCH__Poll2_S1,ADWIN,3.2279,0.8731,7
MCH__Prax1_S1,ADWIN,2.2527,0.9372,8
MCH__Prax2_S1,ADWIN,2.6183,0.9151,9
MCH__SA1_S1,ADWIN,5.0335,0.5815,4
MCH__SA2_S1,ADWIN,5.0349,0.5859,4
MCH__SA3_S1,ADWIN,4.5947,0.6524,6
YRK__AQM391_S1,ADWIN,4.5137,0.9187,10
YRK__AQY875_S1,ADWIN,8.0834,0.7584,5
YRK__AQY875_S2,ADWIN,7.7592,0.7163,10
YRK__Ari093_S1,ADWIN,5.8855,0.8601,10
LON__AQM389_S1,BOCPD,3.6083,0.6464,10
LON__AQY874_S1,BOCPD,4.5847,0.5532,10
LON__Ari086_S1,BOCPD,5.3675,0.2819,10
MCH__AP1_S1,BOCPD,2.0688,0.9551,10
MCH__AP2_S1,BOCPD,2.4865,0.9351,10
MCH__AP3_S1,BOCPD,3.0042,0.9053,10
MCH__AQM1_S1,BOCPD,2.2153,0.9402,10
MCH__AQM2_S1,BOCPD,2.1124,0.9456,10
MCH__AQM388_S1,BOCPD,3.3438,0.86,10
MCH__AQM389_S1,BOCPD,15.9933,-2.2197,3
MCH__AQM390_S1,BOCPD,3.4916,0.8464,10
MCH__AQM391_S1,BOCPD,7.1204,0.3394,5
MCH__AQM3_S1,BOCPD,2.3117,0.9349,10
MCH__AQY872_S1,BOCPD,5.1993,0.4882,10
MCH__AQY873_S1,BOCPD,4.4836,0.534,10
MCH__AQY874_S1,BOCPD,3.2991,0.8605,5
MCH__AQY875_S1,BOCPD,4.751,0.6714,6
MCH__Ari063_S1,BOCPD,3.0303,0.8914,10
MCH__Ari078_S1,BOCPD,3.9059,0.8291,10
MCH__Ari086_S1,BOCPD,2.133,0.9462,5
MCH__IMB1_S1,BOCPD,2.9635,0.8939,10
MCH__IMB1_S2,BOCPD,3.7828,0.8271,10
MCH__IMB1_S3,BOCPD,3.6864,0.8358,10
MCH__IMB2_S1,BOCPD,2.7865,0.863,10
MCH__IMB2_S2,BOCPD,3.5498,0.7777,10
MCH__IMB2_S3,BOCPD,2.5597,0.8844,10
MCH__NS1_S1,BOCPD,2.0449,0.9552,10
MCH__NS2_S1,BOCPD,2.3109,0.9428,10
MCH__NS3_S1,BOCPD,2.1893,0.9484,9
MCH__Poll1_S1,BOCPD,2.4527,0.9363,10
MCH__Poll2_S1,BOCPD,3.4047,0.8588,10
MCH__Prax1_S1,BOCPD,2.2388,0.938,10
MCH__Prax2_S1,BOCPD,2.6668,0.912,10
MCH__SA1_S1,BOCPD,4.5396,0.6596,7
MCH__SA2_S1,BOCPD,4.9753,0.5957,7
MCH__SA3_S1,BOCPD,4.6809,0.6392,7
YRK__AQM391_S1,BOCPD,4.6617,0.9133,10
YRK__AQY875_S1,BOCPD,8.3811,0.7403,9
YRK__AQY875_S2,BOCPD,8.1924,0.6838,10
YRK__Ari093_S1,BOCPD,5.9522,0.857,10
LON__AQM389_S1,KS,3.6255,0.643,8
LON__AQY874_S1,KS,4.7672,0.5169,10
LON__Ari086_S1,KS,5.109,0.3494,10
MCH__AP1_S1,KS,2.1126,0.9532,6
MCH__AP2_S1,KS,2.6168,0.9281,5
MCH__AP3_S1,KS,3.0646,0.9014,4
MCH__AQM1_S1,KS,2.2147,0.9402,7
MCH__AQM2_S1,KS,2.1695,0.9426,7
MCH__AQM388_S1,KS,2.9423,0.8916,10
MCH__AQM389_S1,KS,8.3939,0.1131,2
MCH__AQM390_S1,KS,2.9939,0.8871,10
MCH__AQM391_S1,KS,7.5859,0.2502,3
MCH__AQM3_S1,KS,2.3417,0.9332,7
MCH__AQY872_S1,KS,6.0054,0.3172,10
MCH__AQY873_S1,KS,4.5187,0.5267,10
MCH__AQY874_S1,KS,3.3522,0.856,3
MCH__AQY875_S1,KS,4.7954,0.6652,3
MCH__Ari063_S1,KS,2.8844,0.9016,10
MCH__Ari078_S1,KS,3.8565,0.8334,8
MCH__Ari086_S1,KS,2.1866,0.9435,1
MCH__IMB1_S1,KS,3.1873,0.8773,3
MCH__IMB1_S2,KS,4.8219,0.7191,2
MCH__IMB1_S3,KS,4.315,0.7751,4
MCH__IMB2_S1,KS,2.8456,0.8571,3
MCH__IMB2_S2,KS,3.6401,0.7662,6
MCH__IMB2_S3,KS,2.8265,0.859,2
MCH__NS1_S1,KS,2.0392,0.9554,7
MCH__NS2_S1,KS,2.3237,0.9421,7
MCH__NS3_S1,KS,2.1978,0.948,7
MCH__Poll1_S1,KS,2.565,0.9303,5
MCH__Poll2_S1,KS,3.5282,0.8484,5
MCH__Prax1_S1,KS,2.1517,0.9427,8
MCH__Prax2_S1,KS,2.7631,0.9055,10
MCH__SA1_S1,KS,4.5773,0.6539,4
MCH__SA2_S1,KS,4.912,0.6059,4
MCH__SA3_S1,KS,4.6341,0.6464,4
YRK__AQM391_S1,KS,4.5686,0.9167,8
YRK__AQY875_S1,KS,8.7708,0.7156,7
YRK__AQY875_S2,KS,7.5613,0.7306,10
YRK__Ari093_S1,KS,5.9594,0.8566,10
LON__AQM389_S1,Uncertainty,5.8187,0.0805,0
LON__AQY874_S1,Uncertainty,5.2056,0.4239,0
LON__Ari086_S1,Uncertainty,5.0631,0.361,0
MCH__AP1_S1,Uncertainty,2.2615,0.9463,1
MCH__AP2_S1,Uncertainty,2.8451,0.9151,1
MCH__AP3_S1,Uncertainty,3.5003,0.8714,1
MCH__AQM1_S1,Uncertainty,2.3816,0.9309,1
MCH__AQM2_S1,Uncertainty,2.3287,0.9339,2
MCH__AQM388_S1,Uncertainty,5.4791,0.6241,0
MCH__AQM389_S1,Uncertainty,18.2057,-3.1722,0
MCH__AQM390_S1,Uncertainty,5.5804,0.6076,0
MCH__AQM391_S1,Uncertainty,14.5018,-1.7403,0
MCH__AQM3_S1,Uncertainty,2.4648,0.926,1
MCH__AQY872_S1,Uncertainty,5.8121,0.3604,0
MCH__AQY873_S1,Uncertainty,4.1292,0.6048,0
MCH__AQY874_S1,Uncertainty,4.1678,0.7773,0
MCH__AQY875_S1,Uncertainty,4.9409,0.6446,1
MCH__Ari063_S1,Uncertainty,3.6896,0.839,0
MCH__Ari078_S1,Uncertainty,3.7197,0.845,0
MCH__Ari086_S1,Uncertainty,2.1999,0.9428,1
MCH__IMB1_S1,Uncertainty,3.4819,0.8535,2
MCH__IMB1_S2,Uncertainty,4.6252,0.7416,2
MCH__IMB1_S3,Uncertainty,4.6171,0.7425,2
MCH__IMB2_S1,Uncertainty,2.756,0.866,2
MCH__IMB2_S2,Uncertainty,4.0236,0.7143,2
MCH__IMB2_S3,Uncertainty,2.7594,0.8656,3
MCH__NS1_S1,Uncertainty,2.956,0.9063,1
MCH__NS2_S1,Uncertainty,3.3106,0.8825,1
MCH__NS3_S1,Uncertainty,2.7804,0.9168,1
MCH__Poll1_S1,Uncertainty,3.3248,0.883,2
MCH__Poll2_S1,Uncertainty,3.7776,0.8262,1
MCH__Prax1_S1,Uncertainty,2.1982,0.9402,1
MCH__Prax2_S1,Uncertainty,2.7835,0.9041,1
MCH__SA1_S1,Uncertainty,5.4157,0.5156,0
MCH__SA2_S1,Uncertainty,5.7246,0.4648,0
MCH__SA3_S1,Uncertainty,5.4737,0.5066,0
YRK__AQM391_S1,Uncertainty,5.2565,0.8898,0
YRK__AQY875_S1,Uncertainty,11.2315,0.5336,0
YRK__AQY875_S2,Uncertainty,8.9525,0.6223,0
YRK__Ari093_S1,Uncertainty,7.0892,0.7971,0
