sensor_id,detector,precision,recall,f1
LON__AQM389_S1,Z-score,0.038,0.078,0.052
LON__AQM389_S1,IQR,0.046,0.156,0.071
LON__AQM389_S1,Consensus,0.032,0.74,0.061
LON__AQM389_S1,Ensemble(ours),0.049,0.74,0.091
LON__AQM389_S1,IsolationForest,0.037,0.649,0.07
LON__AQM389_S1,OneClassSVM,0.046,0.792,0.087
LON__AQM389_S1,Autoencoder,0.091,0.494,0.154
LON__AQY874_S1,Z-score,0.022,0.058,0.032
LON__AQY874_S1,IQR,0.008,0.029,0.012
LON__AQY874_S1,Consensus,0.026,0.406,0.048
LON__AQY874_S1,Ensemble(ours),0.0,0.0,
LON__AQY874_S1,IsolationForest,0.044,0.333,0.077
LON__AQY874_S1,OneClassSVM,0.053,0.406,0.094
LON__AQY874_S1,Autoencoder,0.071,0.275,0.113
LON__Ari086_S1,Z-score,0.019,0.036,0.025
LON__Ari086_S1,IQR,0.061,0.182,0.092
LON__Ari086_S1,Consensus,0.034,0.6,0.064
LON__Ari086_S1,Ensemble(ours),0.047,0.455,0.086
LON__Ari086_S1,IsolationForest,0.018,0.273,0.035
LON__Ari086_S1,OneClassSVM,0.027,0.291,0.049
LON__Ari086_S1,Autoencoder,0.03,0.091,0.045
MCH__AQM388_S1,Z-score,0.105,0.182,0.133
MCH__AQM388_S1,IQR,0.172,0.409,0.242
MCH__AQM388_S1,Consensus,0.046,0.909,0.087
MCH__AQM388_S1,Ensemble(ours),0.047,0.977,0.089
MCH__AQM388_S1,IsolationForest,0.038,0.591,0.071
MCH__AQM388_S1,OneClassSVM,0.078,0.727,0.141
MCH__AQM388_S1,Autoencoder,0.08,0.42,0.135
MCH__AQM390_S1,Z-score,0.128,0.221,0.162
MCH__AQM390_S1,IQR,0.147,0.299,0.197
MCH__AQM390_S1,Consensus,0.038,0.909,0.074
MCH__AQM390_S1,Ensemble(ours),0.028,0.714,0.055
MCH__AQM390_S1,IsolationForest,0.023,0.325,0.044
MCH__AQM390_S1,OneClassSVM,0.076,0.519,0.132
MCH__AQM390_S1,Autoencoder,0.109,0.442,0.175
MCH__AQY872_S1,Z-score,0.092,0.212,0.129
MCH__AQY872_S1,IQR,0.092,0.282,0.138
MCH__AQY872_S1,Consensus,0.03,0.847,0.057
MCH__AQY872_S1,Ensemble(ours),0.02,0.906,0.04
MCH__AQY872_S1,IsolationForest,0.018,0.118,0.031
MCH__AQY872_S1,OneClassSVM,0.065,0.435,0.114
MCH__AQY872_S1,Autoencoder,0.104,0.376,0.163
MCH__AQY873_S1,Z-score,0.071,0.261,0.112
MCH__AQY873_S1,IQR,0.053,0.304,0.09
MCH__AQY873_S1,Consensus,0.015,0.652,0.029
MCH__AQY873_S1,Ensemble(ours),0.031,0.587,0.06
MCH__AQY873_S1,IsolationForest,0.0,0.0,
MCH__AQY873_S1,OneClassSVM,0.012,0.239,0.023
MCH__AQY873_S1,Autoencoder,0.032,0.239,0.057
MCH__Ari063_S1,Z-score,0.098,0.182,0.127
MCH__Ari063_S1,IQR,0.148,0.364,0.211
MCH__Ari063_S1,Consensus,0.069,0.779,0.126
MCH__Ari063_S1,Ensemble(ours),0.072,0.701,0.131
MCH__Ari063_S1,IsolationForest,0.015,0.338,0.03
MCH__Ari063_S1,OneClassSVM,0.039,0.662,0.073
MCH__Ari063_S1,Autoencoder,0.068,0.662,0.124
MCH__Ari078_S1,Z-score,0.116,0.098,0.106
MCH__Ari078_S1,IQR,0.163,0.159,0.16
MCH__Ari078_S1,Consensus,0.12,0.793,0.208
MCH__Ari078_S1,Ensemble(ours),0.23,0.756,0.353
MCH__Ari078_S1,IsolationForest,0.171,0.61,0.267
MCH__Ari078_S1,OneClassSVM,0.106,0.463,0.173
MCH__Ari078_S1,Autoencoder,0.148,0.305,0.199
MCH__IMB2_S1,Z-score,0.078,0.095,0.085
MCH__IMB2_S1,IQR,0.09,0.095,0.092
MCH__IMB2_S1,Consensus,0.028,0.905,0.055
MCH__IMB2_S1,Ensemble(ours),0.035,0.297,0.063
MCH__IMB2_S1,IsolationForest,0.029,0.108,0.045
MCH__IMB2_S1,OneClassSVM,0.05,0.216,0.081
MCH__IMB2_S1,Autoencoder,0.073,0.176,0.104
MCH__IMB2_S2,Z-score,0.128,0.132,0.13
MCH__IMB2_S2,IQR,0.253,0.253,0.253
MCH__IMB2_S2,Consensus,0.03,0.89,0.058
MCH__IMB2_S2,Ensemble(ours),0.022,0.319,0.042
MCH__IMB2_S2,IsolationForest,0.081,0.264,0.123
MCH__IMB2_S2,OneClassSVM,0.126,0.484,0.2
MCH__IMB2_S2,Autoencoder,0.168,0.352,0.228
MCH__IMB2_S3,Z-score,0.1,0.092,0.096
MCH__IMB2_S3,IQR,0.179,0.153,0.165
MCH__IMB2_S3,Consensus,0.057,0.755,0.106
MCH__IMB2_S3,Ensemble(ours),0.106,0.52,0.176
MCH__IMB2_S3,IsolationForest,0.055,0.153,0.081
