sensor_id,detector,precision,recall,f1
LON__AQM389_S1,Z-score,0.082,0.156,0.108
LON__AQM389_S1,IQR,0.128,0.338,0.186
LON__AQM389_S1,Consensus,0.008,1.0,0.017
LON__AQM389_S1,Ensemble(ours),0.009,1.0,0.018
LON__AQM389_S1,IsolationForest,0.051,0.416,0.09
LON__AQM389_S1,OneClassSVM,0.067,0.468,0.117
LON__AQM389_S1,Autoencoder,0.118,0.442,0.186
LON__AQY874_S1,Z-score,0.193,0.319,0.24
LON__AQY874_S1,IQR,0.088,0.275,0.133
LON__AQY874_S1,Consensus,0.003,0.406,0.006
LON__AQY874_S1,Ensemble(ours),0.002,0.275,0.005
LON__AQY874_S1,IsolationForest,0.01,0.652,0.02
LON__AQY874_S1,OneClassSVM,0.01,0.652,0.02
LON__AQY874_S1,Autoencoder,0.027,0.522,0.052
LON__Ari086_S1,Z-score,0.239,0.582,0.339
LON__Ari086_S1,IQR,0.164,0.655,0.263
LON__Ari086_S1,Consensus,0.008,0.982,0.015
LON__Ari086_S1,Ensemble(ours),0.008,1.0,0.016
LON__Ari086_S1,IsolationForest,0.063,0.418,0.11
LON__Ari086_S1,OneClassSVM,0.075,0.655,0.135
LON__Ari086_S1,Autoencoder,0.131,0.582,0.213
MCH__AQM388_S1,Z-score,0.133,0.273,0.179
MCH__AQM388_S1,IQR,0.19,0.5,0.275
MCH__AQM388_S1,Consensus,0.009,0.909,0.017
MCH__AQM388_S1,Ensemble(ours),0.01,1.0,0.02
MCH__AQM388_S1,IsolationForest,0.033,0.75,0.064
MCH__AQM388_S1,OneClassSVM,0.054,0.693,0.101
MCH__AQM388_S1,Autoencoder,0.124,0.477,0.197
MCH__AQM390_S1,Z-score,0.082,0.156,0.107
MCH__AQM390_S1,IQR,0.136,0.338,0.194
MCH__AQM390_S1,Consensus,0.008,0.896,0.015
MCH__AQM390_S1,Ensemble(ours),0.008,1.0,0.016
MCH__AQM390_S1,IsolationForest,0.022,0.442,0.041
MCH__AQM390_S1,OneClassSVM,0.034,0.532,0.064
MCH__AQM390_S1,Autoencoder,0.052,0.364,0.092
MCH__AQY872_S1,Z-score,0.193,0.259,0.221
MCH__AQY872_S1,IQR,0.214,0.294,0.248
MCH__AQY872_S1,Consensus,0.005,0.824,0.01
MCH__AQY872_S1,Ensemble(ours),0.005,0.929,0.01
MCH__AQY872_S1,IsolationForest,0.013,0.953,0.026
MCH__AQY872_S1,OneClassSVM,0.013,1.0,0.026
