sensor_id,city,raw_RMSE,cal_RMSE,cal_clean_RMSE,raw_R2,cal_R2,cal_clean_R2,cal_MAE,cal_d,n_retrains,suspect_h,faulty_h
LON__AQM389_S1,LON,17.9785,3.7744,3.7212,-7.7779,0.6131,0.6253,2.7747,0.9006,7,197,136
LON__AQY874_S1,LON,37.526,4.6633,4.6633,-28.9352,0.5377,0.5377,3.1622,0.8441,10,31,0
LON__Ari086_S1,LON,363.198,5.4557,4.586,-3287.0424,0.2581,0.4459,3.6894,0.8005,7,300,354
MCH__AP1_S1,MCH,4.7957,2.1316,2.1316,0.7586,0.9523,0.9523,1.55,0.9869,3,8,0
MCH__AP2_S1,MCH,4.1373,2.5507,2.5426,0.8204,0.9317,0.9326,1.8713,0.9807,3,32,23
MCH__AP3_S1,MCH,4.7129,3.1891,3.1687,0.7669,0.8933,0.8962,2.5098,0.9684,3,96,77
MCH__AQM1_S1,MCH,5.2505,2.2899,2.2899,0.6641,0.9361,0.9361,1.4957,0.9835,3,20,0
MCH__AQM2_S1,MCH,5.417,2.2473,2.2473,0.6425,0.9385,0.9385,1.5291,0.9841,3,28,0
MCH__AQM388_S1,MCH,14.6334,2.9812,2.858,-1.6814,0.8887,0.8987,2.2321,0.9691,6,280,162
MCH__AQM389_S1,MCH,8.8414,8.9584,5.0064,0.016,-0.0102,0.7119,5.2909,0.8147,1,137,165
MCH__AQM390_S1,MCH,12.8976,2.9462,2.8403,-1.0961,0.8906,0.8996,2.2058,0.9696,7,226,222
MCH__AQM391_S1,MCH,8.8733,8.1871,5.0123,-0.026,0.1266,0.7242,5.716,0.8347,2,107,297
MCH__AQM3_S1,MCH,4.8405,2.4023,2.4023,0.7145,0.9297,0.9297,1.585,0.9818,3,27,0
MCH__AQY872_S1,MCH,48.7574,4.4498,4.1606,-44.0082,0.6251,0.6787,3.0993,0.8787,10,456,432
MCH__AQY873_S1,MCH,34.4784,4.3724,3.9358,-26.5554,0.5569,0.657,3.0379,0.8734,6,571,580
MCH__AQY874_S1,MCH,5.2373,3.4352,3.4501,0.6484,0.8487,0.8488,2.5576,0.9535,2,28,16
MCH__AQY875_S1,MCH,8.1128,4.8977,4.7321,0.0419,0.6508,0.6811,3.2065,0.8739,2,76,44
MCH__Ari063_S1,MCH,8.7279,2.9819,2.9178,0.0992,0.8949,0.9005,2.2207,0.9701,8,141,189
MCH__Ari078_S1,MCH,4.8018,3.7197,3.7197,0.7418,0.845,0.845,2.7552,0.955,0,56,0
MCH__Ari086_S1,MCH,2.1595,2.1866,2.1847,0.9449,0.9435,0.9437,1.608,0.9859,1,28,10
MCH__IMB1_S1,MCH,4.5363,3.5719,3.3108,0.7514,0.8459,0.8734,2.7814,0.9561,2,359,200
MCH__IMB1_S2,MCH,5.7045,4.4892,3.5965,0.6069,0.7566,0.8563,3.4599,0.9298,2,142,658
MCH__IMB1_S3,MCH,7.0531,4.4746,3.6478,0.3991,0.7581,0.8523,3.4677,0.93,2,199,603
MCH__IMB2_S1,MCH,6.826,2.8335,2.4674,0.1779,0.8583,0.8932,1.9969,0.9627,1,323,88
MCH__IMB2_S2,MCH,7.9803,3.8147,3.4017,-0.1237,0.7432,0.8065,2.9665,0.9307,3,273,491
MCH__IMB2_S3,MCH,5.2831,2.8599,2.7302,0.5075,0.8557,0.871,2.2023,0.9614,2,88,329
MCH__NS1_S1,MCH,6.6503,2.2618,2.2618,0.5258,0.9451,0.9451,1.6659,0.986,3,63,0
MCH__NS2_S1,MCH,13.4185,2.4498,2.4199,-0.9302,0.9357,0.9373,1.7841,0.9836,4,38,6
MCH__NS3_S1,MCH,7.4271,2.3073,2.3073,0.4064,0.9427,0.9427,1.7128,0.9852,3,52,0
MCH__Poll1_S1,MCH,5.7904,2.9114,2.8092,0.645,0.9103,0.9169,2.1178,0.9753,3,92,61
MCH__Poll2_S1,MCH,20.4252,3.7183,3.0351,-4.081,0.8316,0.892,2.4318,0.9556,2,307,204
MCH__Prax1_S1,MCH,4.9362,2.2244,2.1504,0.6984,0.9388,0.9429,1.5546,0.9834,3,45,48
MCH__Prax2_S1,MCH,6.3487,2.7407,2.4392,0.5011,0.907,0.927,1.822,0.9746,5,43,40
MCH__SA1_S1,MCH,4.9488,4.8305,4.3488,0.5955,0.6146,0.6413,3.4237,0.89,2,238,165
MCH__SA2_S1,MCH,5.0915,5.1548,4.8729,0.5766,0.566,0.5636,3.6896,0.8663,2,258,109
MCH__SA3_S1,MCH,4.6446,5.0989,4.8322,0.6448,0.5719,0.5717,3.6435,0.8559,2,219,146
YRK__AQM391_S1,YRK,9.8182,4.7543,4.6857,0.6154,0.9098,0.9124,3.6039,0.9769,5,115,22
YRK__AQY875_S1,YRK,37.5725,8.5791,8.5791,-4.22,0.7278,0.7278,6.1177,0.9224,3,117,0
YRK__AQY875_S2,YRK,40.8125,7.438,7.438,-6.8487,0.7393,0.7393,5.4051,0.9214,9,0,0
YRK__Ari093_S1,YRK,16.1873,5.9016,5.8816,-0.058,0.8594,0.8607,4.4705,0.9597,7,141,82
