sensor_id,model,RMSE,R2,MAE,d
LON__AQY874_S1,GNN,5.1548,0.4238,3.5741,0.7674
MCH__AP1_S1,GNN,3.6398,0.8254,2.0972,0.9581
MCH__AP2_S1,GNN,3.4615,0.8421,2.04,0.9612
MCH__AP3_S1,GNN,2.7949,0.8971,2.02,0.9745
MCH__AQM1_S1,GNN,2.6829,0.9025,2.1492,0.9748
MCH__AQM2_S1,GNN,2.6259,0.9066,2.1041,0.9756
MCH__AQM3_S1,GNN,2.7778,0.8955,2.2427,0.9728
MCH__AQY872_S1,GNN,2.7126,0.8427,2.1155,0.9571
MCH__AQY873_S1,GNN,2.2665,0.9151,1.7299,0.9766
MCH__IMB1_S1,GNN,2.8199,0.8922,2.2159,0.973
MCH__IMB1_S2,GNN,2.6769,0.9029,2.1476,0.9748
MCH__IMB1_S3,GNN,2.7005,0.9012,2.1784,0.9742
MCH__IMB2_S1,GNN,3.6019,0.8227,2.8369,0.9571
MCH__IMB2_S2,GNN,3.3743,0.8444,2.6993,0.9601
MCH__IMB2_S3,GNN,3.3333,0.8482,2.6643,0.9611
MCH__NS1_S1,GNN,3.6665,0.8204,2.2699,0.9566
MCH__NS2_S1,GNN,3.7659,0.8107,2.4321,0.9543
MCH__NS3_S1,GNN,3.616,0.825,2.2559,0.9564
MCH__Poll1_S1,GNN,3.6618,0.8233,2.2363,0.9572
MCH__Poll2_S1,GNN,4.03,0.7776,2.8943,0.9466
MCH__Prax1_S1,GNN,4.638,0.7061,3.559,0.9313
MCH__Prax2_S1,GNN,4.9163,0.6698,3.9976,0.9261
MCH__SA1_S1,GNN,3.8661,0.8202,3.1767,0.9534
MCH__SA2_S1,GNN,3.7935,0.83,3.1335,0.9555
MCH__SA3_S1,GNN,3.8796,0.8206,3.2094,0.9533
YRK__AQY875_S2,GNN,14.2687,-0.032,11.7119,0.6998
